F5 6,F6 7,F7 8,F8 9,F9 10,M5-6,M6 7,M7 8,M8 9,M9 10,Number of Records,T5 6,T6 7,T7 8,T8 9,T9 10,Th5 6,Th6 7,Th7 8,Th8 9,Th9 10,W5 6,W6 7,W7 8,W8 9,W9 10,Lat,Location Index,Lon
64.0725,58.04727273,55.19677419,56.06657895,52.75891892,54.42529412,55.25611111,52.55947368,56.85238095,53.34,1,56.11875,57.434375,54.73,56.15538462,51.757,63.97,56.56731707,52.25233333,48.10277778,56.83612903,60.78363636,58.995,54.97575758,54.62363636,53.41333333,-37.63769615,96,144.8055277
54.90538462,63.32257143,60.66947368,62.54488889,60.72758621,61.8808,60.0306383,57.92255814,56.77196429,60.84925926,1,60.75272727,61.24558824,64.68366667,59.62583333,59.594,61.12,60.62,60.19166667,59.19313725,62.8828,64.87642857,64.05405405,62.85104167,59.27924528,59.86948718,-37.63744494,97,144.805157
53.66413793,54.16228571,45.57227273,45.81472973,46.04789474,56.18222222,45.40268293,46.82196721,45.96032787,43.2,1,53.8162069,47.78454545,44.0545,40.86290698,43.96470588,53.35323529,50.55711538,44.18953125,41.21082192,43.32955882,58.61315789,48.7115625,44.84046154,43.73166667,44.014,-37.72784168,134,144.7938963
98.4734375,75.3022314,66.45259615,78.70050847,96.48746667,100.0226415,66.99583333,58.17053191,54.33298851,90.36391304,1,98.02042553,56.67242105,35.46,52.38625,81.27028571,99.92781818,64.68028302,48.56666667,55.89706522,92.63523364,99.36974359,70.01666667,55.20867257,65.81818182,92.62566372,-37.7004519,217,144.8097053
58.23032258,62.1544186,56.87268041,53.74922222,58.66138462,59.87878049,57.40977273,56.08086022,53.30213115,58.27652174,1,60.24210526,57.32333333,57.34548387,50.37036364,60.36603774,63.19518519,63.41857143,54.83622951,52.6016092,53.9008642,61.91074074,56.55921053,56.32803922,54.24238095,57.79753086,-37.70810438,308,144.7776569
43.11061224,42.16666667,43.23875,38.24203883,34.6841,43.80421053,43.4524359,42.59606838,39.99696629,35.84979167,1,45.85214286,39.29262295,39.06868852,38.25136364,35.89461538,42.78878788,44.56018868,42.46861111,38.25349398,39.64428571,41.09162791,43.42430108,40.19030303,37.54553571,41.1052381,-37.69082602,426,144.8820428
48.05807692,53.28186441,52.20605505,49.01043796,49.29267442,53.89318182,50.06323232,51.86429719,49.92492857,49.59083333,1,48.70125,54.24132653,52.46786885,47.53774775,48.44121387,53.06333333,48.47555556,52.84318519,46.00816,47.18985075,51.5487037,53.27435484,50.20535519,49.66215789,50.63584615,-37.72353516,470,144.849996
91.7447619,94.01054795,91.07025641,92.24622378,90.4406383,95.040625,93.43197987,92.21552511,91.17069231,91.61901408,1,92.558,92.61947368,92.00646617,91.16480315,91.49569106,96.55613636,92.03619718,91.71594595,92.25231343,91.86427136,93.54925926,93.94630952,93.17862637,90.51433498,92.53144928,-37.73048122,521,144.8741332
89.51558824,91.81257143,93.04097561,94.21181818,92.30333333,92.79625,94.04333333,94.35916667,92.69266667,93.21076923,1,88.907,94.62291667,93.10921053,91.52276596,94.34292683,99.42,93.82928571,91.45457627,92.94542857,92.83,93.27571429,92.74692308,93.491875,92.44333333,92.58934783,-37.72781356,522,144.861401
90.17121212,91.94657895,91.89341463,92.60102041,89.86630435,91.99,93.78515152,93.51313725,91.58478261,93.16816327,1,89.41333333,92.7824,90.305,90.11586957,91.93818182,98.88333333,93.72214286,90.68862069,90.80394737,91.35175439,89.06625,91.24185185,92.11276596,91.59490909,91.06392157,-37.72726852,526,144.85869
91.91319149,90.58203704,87.83721311,92.80766667,90.24784314,90.51777778,91.48742424,90.73140496,89.87641026,89.18375,1,88.30461538,93.09333333,90.32510204,88.21530303,90.81680851,92.55157895,92.24433333,90.08781955,90.79213333,87.80267606,88.76777778,87.5759375,90.73696429,90.76578125,88.89635135,-37.70113903,558,144.8100853
56.77904762,57.27340909,53.87853659,50.5687234,51.07580357,62.91605263,57.16137615,55.45973684,51.7915528,51.9827381,1,51.65235294,55.245,55.21679012,50.23017621,49.78906542,59.8,57.99390977,53.448125,50.28891304,49.9509542,59.40555556,56.19663158,54.32512077,52.57127907,50.60802239,-37.71832585,589,144.8545221
72.73909091,77.31454545,68.32875,67.03678571,69.29882353,64.56833333,73.39083333,64.44472222,58.38565217,68.13314286,1,74.36666667,75.69722222,72.38454545,63.58272727,67.694375,68.991,70.50928571,63.30212121,62.3335,62.08217391,67.895,73.68083333,69.8459375,64.7724,71.91809524,-37.71667165,628,144.8032797
64.8455814,66.41578947,63.13303797,60.59217949,64.56164179,65.28096774,66.98043478,62.2322549,62.18166667,62.311,1,70.115,64.0358,60.55186047,61.2498913,62.58390244,69.93307692,68.48155172,62.86353448,63.79650602,65.66877551,68.21346154,67.14132353,63.74539216,63.43634921,64.00140351,-37.72127877,631,144.8274954
84.56080724,83.49204145,81.79225699,81.64735677,81.33714842,77.86293039,71.95114619,73.59215564,79.58391692,80.29274683,1,79.7602228,77.52035721,80.48538872,82.28578742,81.84944568,83.34491657,80.92152729,80.57604734,81.05755174,81.95359911,82.80595338,79.12102987,80.55189336,81.55821471,80.18547637,-37.68638278,750,144.8772179
79.01,82.10451613,84.7805,83.3248,83.30290323,87.04583333,82.0335,88.64,86.25676471,89.00032258,1,85.16777778,80.01043478,83.76619048,81.64375,79.76666667,83.915,82.5436,85.81958333,80.71571429,88.85,79.18714286,84.39,88.49428571,86.83375,83.81,-37.61686638,832,144.7822229
48.85144231,44.9581203,42.52556962,35.44633721,42.67545455,49.4457732,47.10861314,38.6602139,35.33664706,40.74626984,1,49.00142857,46.76989247,37.86220859,36.16670968,41.34826923,49.24623377,45.05302158,40.27377143,33.52917526,38.98509554,47.4490411,47.54104839,40.27873418,36.39237838,43.20440252,-37.68164192,864,144.8835775
47.85409091,44.61538462,49.42443182,43.09075269,42.91422535,49.82648649,51.75625,45.4320339,41.48010204,50.00911765,1,48.07590909,42.59463415,45.42673684,44.16532609,46.71411765,46.1746875,52.547,44.76939759,44.12820755,44.66173333,48.73357143,48.27285714,44.51418605,46.6113,47.10538462,-37.7016871,865,144.8819833
31.98625,28.05337079,31.30175573,24.71447154,25.54320388,35.087625,30.37388013,28.01,27.48246032,31.25051282,1,37.28816667,29.09596859,26.56707792,28.08183206,29.54435294,32.80245614,28.5944,27.59452229,23.37166667,24.42457143,33.52962264,30.59167598,25.56629442,23.05971429,29.48137681,-37.69965488,866,144.8802512
65.37046512,66.32814815,64.71969231,65.57308824,65.09338983,64.47608696,65.71220339,68.10280702,66.90302326,65.30488889,1,64.18032258,66.67851064,59.21431818,65.082,64.545,66.58441176,64.79651515,60.88126761,64.75714286,68.28851852,65.79540541,67.96759259,63.74166667,62.33241935,66.17716667,-37.67696324,900,144.8842583
54.65968254,53.77547945,50.61413043,49.50608696,52.54674157,54.42073529,56.36920635,49.26135135,49.15884615,55.46896552,1,54.09,53.22230769,44.73942857,46.04072727,50.42607143,56.33041667,51.94916667,47.35377778,49.47530864,51.89417722,56.65777778,56.19464789,47.60775,49.25802326,55.57425,-37.68086879,901,144.8835541
56.94,51.125,49.69861111,45.57674419,45.02210526,56.0975,51.10555556,45.03422222,39.65947368,42.11823529,1,56.48928571,46.0068,44.92904762,38.93571429,47.92666667,49.67692308,50.22733333,47.4125,47.52134615,47.71225,59.95666667,49.94956522,44.67293103,42.27,43.93294118,-37.69661875,1143,144.7813942
70.01666667,69.91484848,68.51454545,66.23789474,66.85487179,68.93588235,68.25444444,64.90263158,69.90238095,66.77297297,1,69.606,66.40552632,68.82318182,66.19583333,66.04518519,75.1825,71.79974359,67.41551724,74.69533333,68.80375,69.59416667,70.8021875,66.8140625,67.89090909,66.0024,-37.64326625,1149,144.8289692
70.09518519,67.03095588,65.37628571,68.51884956,67.59991379,71.03380282,67.49095238,59.84929825,60.36194245,68.87811765,1,69.2792,64.80225806,62.76609375,61.28432203,66.61114943,70.67479167,65.82341667,63.76363128,61.21440678,69.7133945,70.45516129,67.84066116,62.67034965,61.66876923,70.26133333,-37.6442179,1150,144.8341628
79.29104717,76.07511261,63.04229477,62.06118703,64.63164505,70.56605213,60.66349294,62.58707935,67.33922194,70.27075806,1,71.78836716,57.24387897,59.8221533,63.3013858,72.94732611,76.36133467,64.70964046,61.36201247,63.20252161,69.24173699,74.61756027,62.2235744,60.96523114,63.68421573,66.7397384,-37.69718481,1159,144.88707
90.49538462,91.60423077,87.75288889,87.48325,89.63875,93.405625,90.59060606,80.4737931,91.235,91.59192308,1,90.652,90.04076923,80.07631579,86.20030303,85.75307692,93.96666667,90.97884615,83.59625,86.75228571,89.1412,94.14333333,91.11526316,82.095,90.26,92.471875,-37.61489324,1178,144.7802643
91.92310924,89.34966443,85.57403636,86.97837004,87.21595668,91.47239583,88.14303279,82.2342562,78.23848214,84.39559387,1,91.96071429,87.12209091,74.8121256,71.87446701,82.85530769,91.95857143,89.21787879,80.41681507,81.74879227,85.28649485,91.186375,89.11142857,79.00310345,82.11809045,84.28910156,-37.7272244,1229,144.8595217
74.76697248,75.94833333,72.50858333,72.90578313,71.963125,75.02858696,73.22475248,73.94062016,74.318875,74.68188235,1,75.94786408,76.19306306,71.532,72.12208955,73.76921053,75.38263636,76.33695312,73.69461538,62.3559375,72.71113636,75.41414141,75.73275,70.76193798,69.40148936,72.15475248,-37.65087552,1272,144.879608
54.55382353,46.96393939,45.461,42.32606897,44.01686131,48.68857143,47.19809524,45.80582645,42.68298246,45.78566667,1,49.41923077,46.24009009,45.86306667,42.70533333,41.78461538,52.17058824,46.86701031,44.98885714,39.22382114,41.5705303,49.465,48.84053892,45.1407732,42.01992806,44.94946903,-37.70712374,1302,144.8692756
99.78435294,89.30956204,72.16621849,83.35197183,97.966,101.2733333,71.10421429,59.76,50.72539823,94.35534483,1,101.0806122,60.81481752,37.92944444,66.198,84.71310811,99.42610169,71.00643836,55.99806452,63.22245614,95.87482143,99.40822222,74.41448052,52.17221429,67.49207207,96.66064516,-37.69468141,1303,144.8009298
62.34294737,53.73037037,40.92121827,41.63994924,51.24884354,66.59,49.33241667,39.75570652,40.64956284,54.22322148,1,66.90926316,49.69960784,33.81151163,36.66919355,52.58649682,65.88543478,52.42409091,38.13851528,41.75004975,55.45889706,65.52871429,50.89192661,41.27907834,41.53073864,58.30007576,-37.71732891,1304,144.8280477
58.29714286,54.2053125,53.87560976,54.79850746,59.05625,57.10916667,53.768,54.18982759,55.14890909,62.94692308,1,55.85428571,56.27588235,57.5612963,48.20326923,60.05451613,62.87555556,59.0575,53.393,51.93987179,56.2658,54.3825,53.1436,55.41,53.07135135,66.5696,-37.70717785,1305,144.7781483
93.61731579,92.18082569,84.97627551,90.12040323,90.05191537,92.58946667,91.08551546,71.51226667,72.83769231,84.92271715,1,92.02831858,90.06074534,57.24977208,56.77230556,83.90715859,92.19430769,92.3974502,68.5695612,75.4289267,89.65754425,92.95837607,87.98888889,69.7352381,83.00152648,90.3911804,-37.72878681,1392,144.8672069
52.94466667,51.43116667,49.52972603,39.3696,39.21244186,51.98576923,50.5,47.74241935,37.63434211,44.3238961,1,52.59703704,52.88315789,46.73258065,34.56861111,43.23642857,53.88947368,53.45172414,47.60565217,37.18272727,44.1312987,55.90575758,49.93820513,49.86693548,35.721875,39.36962025,-37.72765542,1498,144.784251
64.09364407,60.92534653,58.30666667,53.84611111,56.32285714,63.29415584,60.50628319,59.24042683,54.8288806,56.88179104,1,64.04756757,58.40580645,56.29657718,53.03450704,56.15864662,62.32173913,58.43607477,58.28316327,55.41943262,57.42059829,62.25441558,60.36803571,57.03170588,54.93728814,55.11706349,-37.72773432,1499,144.7941896
48.07372093,43.06596774,35.62327434,32.69229358,34.26761468,47.91551724,43.28782609,35.65893617,32.67570175,32.66211864,1,46.13028571,42.47888889,32.19778626,29.47781818,32.8078022,42.11703704,43.29575342,36.21351351,32.08030534,33.62857143,48.83707317,39.62891892,33.43652542,34.19616667,35.72412281,-37.71110111,1595,144.888774
